Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
example,5/27/2021 22:55,0:00:11,,Ragnarok: Season 2: Brothers in Arms (Episode 1),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:11,0:00:11,US (United States)
example,5/27/2021 22:55,0:00:44,Autoplayed: user action: None; ,Season 1 Recap: Ragnarok,RECAP,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:44,0:00:44,US (United States)
example,5/21/2021 5:32,0:16:01,,One-Punch Man: Season 1: The Modern Ninja (Episode 4),,DefaultWidevineAndroidPhone,0:16:01,0:16:01,US (United States)
example,5/21/2021 5:08,0:23:56,,One-Punch Man: Season 1: The Obsessive Scientist (Episode 3),,DefaultWidevineAndroidPhone,0:23:56,0:23:56,US (United States)
example,5/21/2021 4:44,0:23:56,,One-Punch Man: Season 1: The Lone Cyborg (Episode 2),,DefaultWidevineAndroidPhone,0:23:56,0:23:56,US (United States)
example,5/21/2021 4:21,0:22:33,,One-Punch Man: Season 1: The Strongest Man (Episode 1),,DefaultWidevineAndroidPhone,0:23:53,0:23:53,US (United States)
example,5/14/2021 4:44,0:18:08,,Fangbone: Season 1: The Helmit of Duling / The House of Leaving (Episode 10),,DefaultWidevineAndroidPhone,0:19:08,0:19:08,US (United States)
example,5/14/2021 4:22,0:22:07,,Fangbone: Season 1: The Leg of Broken / The Iron Fist of Bruce (Episode 9),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 4:00,0:22:07,,Fangbone: Season 1: The Rowboat of Dibby / The Necktie of Change (Episode 8),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 3:38,0:22:07,,Fangbone: Season 1: The Future of Mom / The Ball of Clobbering (Episode 7),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 3:16,0:22:07,,Fangbone: Season 1: The Cavity of Terror / The Sickness of Home (Episode 6),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 2:54,0:22:07,,Fangbone: Season 1: The Duck of Always: Part 1 / The Duck of Always: Part 2 (Episode 5),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 2:31,0:22:07,,Fangbone: Season 1: The Swamp of Education / The Ballad of Meh (Episode 4),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 2:09,0:22:07,,Fangbone: Season 1: The Thundercrush of Responsibility / The Goat of More Goat (Episode 3),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 1:47,0:22:07,,Fangbone: Season 1: The Polluted Light of Destiny / The Warwagon of Trust (Episode 2),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/14/2021 1:25,0:22:11,,Fangbone: Season 1: The Squeak of Might / The Lies of Truth (Episode 1),,DefaultWidevineAndroidPhone,0:23:07,0:23:07,US (United States)
example,5/10/2021 1:13,0:00:22,Autoplayed: user action: None; ,KIDCOSMIC_S1_CLIP_GENRE,HOOK,Google Sabrina ATV Set Top Box,0:00:22,0:00:22,US (United States)
example,5/10/2021 1:12,0:00:39,Autoplayed: user action: None; ,Sweet Home: Season 1_CLIP_MUSIC_3,HOOK,Google Sabrina ATV Set Top Box,0:00:39,0:00:39,US (United States)
example,5/10/2021 1:12,0:00:07,Autoplayed: user action: None; ,Season 1 Trailer 5: The Witcher,TRAILER,Google Sabrina ATV Set Top Box,0:00:07,0:00:07,US (United States)
example,5/10/2021 1:11,0:00:06,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,Google Sabrina ATV Set Top Box,0:00:06,0:00:06,US (United States)
example,5/10/2021 0:25,0:39:53,Autoplayed: user action: User_Interaction; ,Shadow and Bone: Season 1: No Mourners (Episode 8),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:39:53,0:39:53,US (United States)
example,5/10/2021 0:19,0:00:09,Autoplayed: user action: None; ,Season 1 Direct Lift Hook 3: Shadow and Bone,HOOK,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:09,0:00:09,US (United States)
example,5/9/2021 5:11,0:47:03,,Shadow and Bone: Season 1: The Unsea (Episode 7),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:47:16,0:47:16,US (United States)
example,5/9/2021 4:23,0:48:46,,Shadow and Bone: Season 1: The Heart is an Arrow (Episode 6),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:48:59,0:48:59,US (United States)
example,5/9/2021 3:30,0:52:43,Autoplayed: user action: None; ,Shadow and Bone: Season 1: Show Me Who You Are (Episode 5),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:52:57,0:52:57,US (United States)
example,5/9/2021 2:44,0:45:23,,Shadow and Bone: Season 1: Otkazat’sya (Episode 4),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:45:35,0:45:35,US (United States)
example,5/9/2021 2:02,0:42:08,,Shadow and Bone: Season 1: The Making at the Heart of the World (Episode 3),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:42:23,0:42:23,US (United States)
example,5/9/2021 1:15,0:46:36,Autoplayed: user action: User_Interaction; ,Shadow and Bone: Season 1: We’re All Someone’s Monster (Episode 2),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:46:49,0:46:49,US (United States)
example,5/9/2021 0:28,0:46:36,Autoplayed: user action: User_Interaction; ,Shadow and Bone: Season 1: A Searing Burst of Light (Episode 1),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:46:36,0:46:36,US (United States)
example,5/9/2021 0:27,0:00:17,Autoplayed: user action: None; ,Girl from Nowhere: Season 1: The Ugly Truth (Episode 1),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:17,0:00:17,US (United States)
example,5/9/2021 0:27,0:00:03,Autoplayed: user action: None; ,New Gods: Nezha Reborn,,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:03,0:00:03,US (United States)
example,5/9/2021 0:27,0:00:01,Autoplayed: user action: None; ,Shadow and Bone: Season 1: A Searing Burst of Light (Episode 1),,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:01,Not latest view,US (United States)
example,5/9/2021 0:27,0:00:14,Autoplayed: user action: None; ,Volume 1 Trailer: Jupiter's Legacy,TRAILER,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:14,Not latest view,US (United States)
example,5/9/2021 0:26,0:00:09,Autoplayed: user action: None; ,Season 1 Direct Lift Hook 3: Shadow and Bone,HOOK,Samsung 2018 Kant-M2 UHD TV (1.5G) Smart TV,0:00:09,Not latest view,US (United States)
example,5/6/2021 1:32,0:01:17,Autoplayed: user action: None; ,LAST HOPE: Part 1: 2038 Neo Xianglong (Episode 3),,Google Sabrina ATV Set Top Box,0:01:22,0:01:22,US (United States)
example,5/6/2021 1:10,0:21:54,,LAST HOPE: Part 1: The Opener of the Box (Episode 2),,Google Sabrina ATV Set Top Box,0:23:52,0:23:52,US (United States)
example,5/6/2021 0:44,0:22:28,,LAST HOPE: Part 1: The Evolving Destroyer (Episode 1),,Google Sabrina ATV Set Top Box,0:22:28,0:22:28,US (United States)
